,year,month,state,data_status,residential_revenue_thousand_dollars,residential_sales_megawatthours,residential_customers_count,residential_price_cents_kwh,commercial_revenue_thousand_dollars,commercial_sales_megawatthours,commercial_customers_count,commercial_price_cents_kwh,industrial_revenue_thousand_dollars,industrial_sales_megawatthours,industrial_customers_count,industrial_price_cents_kwh,transportation_revenue_thousand_dollars,transportation_sales_megawatthours,transportation_customers_count,transportation_price_cents_kwh,total_revenue_thousand_dollars,total_sales_megawatthours,total_customers_count,total_price_cents_kwh
43,2025,9.0,TX,Preliminary,2629847.9,16606481.0,12700866.0,15.84,1368080.5,15030561.0,1555839.0,9.1,1017272.1,15086877.0,405249.0,6.74,44.79,1193.75,3.0,3.75,5015245.2,46725113.0,14661957.0,10.73
94,2025,8.0,TX,Preliminary,3053103.5,19766971.0,12861831.0,15.45,1494938.3,16468435.0,1586883.0,9.08,1034721.9,15746397.0,407382.0,6.57,40.42,1074.91,3.0,3.76,5582804.1,51982879.0,14856099.0,10.74
145,2025,7.0,TX,Preliminary,2938121.0,19128723.0,12745852.0,15.36,1462019.2,16195652.0,1526780.0,9.03,1035976.4,15696541.0,410176.0,6.6,38.97,1032.58,3.0,3.77,5436155.5,51021948.0,14682811.0,10.65
196,2025,6.0,TX,Preliminary,2505083.5,16448338.0,12731147.0,15.23,1281589.9,14901388.0,1525386.0,8.6,938554.98,14801057.0,406727.0,6.34,36.05,936.69,3.0,3.85,4725264.4,46151720.0,14663263.0,10.24
247,2025,5.0,TX,Preliminary,2009551.6,12975735.0,12680933.0,15.49,1203890.6,13523634.0,1527465.0,8.9,933294.74,14068665.0,395651.0,6.63,33.73,869.51,3.0,3.88,4146770.7,40568903.0,14604052.0,10.22
298,2025,4.0,TX,Preliminary,1648740.9,10600328.0,12679752.0,15.55,1131039.9,12562928.0,1562837.0,9.0,897509.34,13795995.0,395357.0,6.51,30.64,787.94,3.0,3.89,3677320.7,36960040.0,14637949.0,9.95
349,2025,3.0,TX,Preliminary,1680884.7,10984884.0,12731770.0,15.3,1126400.0,12519582.0,1562841.0,9.0,880024.63,13504970.0,392078.0,6.52,26.27,669.77,3.0,3.92,3687335.6,37010105.0,14686692.0,9.96
400,2025,2.0,TX,Preliminary,1979858.7,13293125.0,12580969.0,14.89,1106918.5,12808917.0,1557403.0,8.64,782692.92,12977387.0,388060.0,6.03,30.44,780.94,3.0,3.9,3869500.6,39080210.0,14526435.0,9.9
451,2025,1.0,TX,Preliminary,2226219.3,15169810.0,12617430.0,14.68,1129785.5,13139325.0,1564153.0,8.6,888234.46,13487493.0,388176.0,6.59,30.3,776.69,3.0,3.9,4244269.5,41797405.0,14569762.0,10.15
502,2024,12.0,TX,Final,1699500.3,11067517.0,12658594.0,15.36,1052832.7,12360323.0,1547661.0,8.52,914869.38,14694204.0,391191.0,6.23,35.37,906.58,3.0,3.9,3667237.7,38122951.0,14597449.0,9.62
553,2024,11.0,TX,Final,1634977.8,10425468.0,12586383.0,15.68,1107359.3,13179359.0,1548098.0,8.4,888437.94,14620683.0,389415.0,6.08,42.58,1104.17,3.0,3.86,3630817.6,38226614.0,14523899.0,9.5
604,2024,10.0,TX,Final,2122767.5,13543100.0,12649326.0,15.67,1236218.6,14580688.0,1560092.0,8.48,949951.75,16207443.0,389450.0,5.86,56.62,1478.24,3.0,3.83,4308994.4,44332709.0,14598871.0,9.72
655,2024,9.0,TX,Final,2460528.9,16336670.0,12637695.0,15.06,1300438.5,15037476.0,1555983.0,8.65,908001.43,14875760.0,386324.0,6.1,39.95,1030.08,3.0,3.88,4669008.8,46250935.0,14580005.0,10.1
706,2024,8.0,TX,Final,2958622.8,19878284.0,12658469.0,14.88,1408152.4,15880238.0,1564540.0,8.87,1038019.2,16136378.0,384294.0,6.43,16.62,382.53,3.0,4.35,5404811.0,51895282.0,14607306.0,10.41
757,2024,7.0,TX,Final,2773634.5,18865604.0,12636608.0,14.7,1360511.9,15344113.0,1560793.0,8.87,1000663.0,15956803.0,384811.0,6.27,59.64,1569.17,3.0,3.8,5134869.0,50168089.0,14582215.0,10.24
808,2024,6.0,TX,Final,2490446.2,17114451.0,12574017.0,14.55,1255212.3,14278922.0,1551549.0,8.79,964576.1,15220997.0,377429.0,6.34,36.49,912.13,3.0,4.0,4710271.1,46615282.0,14502998.0,10.1
859,2024,5.0,TX,Final,1895601.5,12784104.0,12534929.0,14.83,1155559.6,13744044.0,1555757.0,8.41,929850.65,14792489.0,371996.0,6.29,34.62,820.77,3.0,4.22,3981046.4,41321458.0,14462685.0,9.63
910,2024,4.0,TX,Final,1476232.8,9754682.9,12485426.0,15.13,1011870.6,12161093.0,1555010.0,8.32,822820.01,13753118.0,367126.0,5.98,29.6,692.96,3.0,4.27,3310953.0,35669587.0,14407565.0,9.28
961,2024,3.0,TX,Final,1419206.8,9450324.0,12407521.0,15.02,1033330.8,12414299.0,1548363.0,8.32,759834.87,13335952.0,361175.0,5.7,32.28,771.54,3.0,4.18,3212404.7,35201347.0,14317062.0,9.13
1012,2024,2.0,TX,Final,1650945.9,11404460.0,12369297.0,14.48,1010093.2,12252925.0,1541337.0,8.24,765153.68,13063658.0,354262.0,5.86,22.4,490.63,3.0,4.57,3426215.2,36721534.0,14264899.0,9.33
1063,2024,1.0,TX,Final,2069957.0,14427079.0,12376052.0,14.35,1114485.7,12999508.0,1595764.0,8.57,839929.57,13477570.0,355765.0,6.23,95.53,1372.21,3.0,6.96,4024467.8,40905529.0,14327584.0,9.84
1114,2023,12.0,TX,Final,1621098.0,11071623.0,12246929.0,14.64,1039031.6,12204795.0,1583890.0,8.51,751476.4,13128094.0,349570.0,5.72,1182.78,13186.25,3.0,8.97,3412788.8,36417699.0,14180392.0,9.37
1165,2023,11.0,TX,Final,1500529.6,10148357.0,12257011.0,14.79,1085547.6,12781964.0,1600469.0,8.49,800275.07,13177791.0,350387.0,6.07,1394.88,18357.09,3.0,7.6,3387747.1,36126469.0,14207870.0,9.38
1216,2023,10.0,TX,Final,1950109.8,13099635.0,12347746.0,14.89,1293988.0,14664084.0,1605661.0,8.82,921811.88,14172486.0,350902.0,6.5,1287.76,17971.83,3.0,7.17,4167197.5,41954177.0,14304312.0,9.93
1267,2023,9.0,TX,Final,2787913.2,18996593.0,12291779.0,14.68,1458189.2,15799913.0,1594803.0,9.23,1074497.4,13966797.0,349322.0,7.69,1141.11,15230.22,3.0,7.49,5321740.9,48778532.0,14235907.0,10.91
1318,2023,8.0,TX,Final,3185732.1,22481421.0,12337105.0,14.17,1652238.8,16965023.0,1603837.0,9.74,1372196.4,14935097.0,348715.0,9.19,1011.29,14982.96,3.0,6.75,6211178.6,54396525.0,14289660.0,11.42
1369,2023,7.0,TX,Final,2867291.5,20557605.0,12290446.0,13.95,1438602.9,16253171.0,1596406.0,8.85,933232.15,14293421.0,345408.0,6.53,978.52,13551.63,3.0,7.22,5240105.1,51117748.0,14232263.0,10.25
1420,2023,6.0,TX,Final,2293762.7,15989221.0,12278460.0,14.35,1272353.3,14665520.0,1595769.0,8.68,871962.27,13325135.0,345714.0,6.54,899.08,12862.35,3.0,6.99,4438977.3,43992738.0,14219946.0,10.09
1471,2023,5.0,TX,Final,1683541.4,11490172.0,12238206.0,14.65,1123249.5,13289189.0,1594101.0,8.45,757126.63,13020690.0,345706.0,5.81,916.26,13404.06,3.0,6.84,3564833.9,37813454.0,14178016.0,9.43
1522,2023,4.0,TX,Final,1375958.6,9579895.6,12178259.0,14.36,981823.55,12138226.0,1580497.0,8.09,694981.13,12419101.0,338062.0,5.6,868.01,12158.82,3.0,7.14,3053631.3,34149382.0,14096821.0,8.94
1573,2023,3.0,TX,Final,1536216.7,10512638.0,12233524.0,14.61,1095939.7,12578179.0,1576509.0,8.71,784532.46,12690802.0,338451.0,6.18,865.93,11895.58,3.0,7.28,3417554.8,35793514.0,14148487.0,9.55
1624,2023,2.0,TX,Final,1720874.1,11690349.0,12207679.0,14.72,1048456.0,11589118.0,1567269.0,9.05,725942.35,11495592.0,336462.0,6.32,877.7,12561.68,3.0,6.99,3496150.1,34787621.0,14111413.0,10.05
1675,2023,1.0,TX,Final,1865810.5,12993366.0,12176944.0,14.36,1139611.5,12862651.0,1575462.0,8.86,752883.58,11623973.0,335684.0,6.48,888.98,12535.54,3.0,7.09,3759194.6,37492526.0,14088093.0,10.03
1726,2022,12.0,TX,Final,1830076.9,12631773.0,12107704.0,14.49,1201404.3,13566949.0,1577813.0,8.86,865277.88,12005670.0,330607.0,7.21,1002.49,14101.95,3.0,7.11,3897761.6,38218493.0,14016127.0,10.2
1777,2022,11.0,TX,Final,1538433.0,10252125.0,12138603.0,15.01,1098998.1,12419969.0,1580417.0,8.85,798962.72,11747207.0,330519.0,6.8,1103.72,15817.84,3.0,6.98,3437497.6,34435118.0,14049542.0,9.98
1828,2022,10.0,TX,Final,1798195.7,12038373.0,12116332.0,14.94,1215520.0,13024345.0,1577192.0,9.33,856076.3,12136996.0,331760.0,7.05,1061.68,15794.64,3.0,6.72,3870853.6,37215509.0,14025287.0,10.4
1879,2022,9.0,TX,Final,2359242.5,15999692.0,12098477.0,14.75,1463901.6,15228330.0,1575823.0,9.61,949323.13,12503634.0,331100.0,7.59,1121.09,17003.31,3.0,6.59,4773588.3,43748660.0,14005403.0,10.91
1930,2022,8.0,TX,Final,2795017.6,19798831.0,12111359.0,14.12,1575055.5,15847251.0,1578427.0,9.94,1043340.5,13531055.0,331598.0,7.71,1159.84,17730.96,3.0,6.54,5414573.4,49194868.0,14021387.0,11.01
1981,2022,7.0,TX,Final,2844553.2,20742408.0,12052926.0,13.71,1502648.8,15374329.0,1572376.0,9.77,1035726.8,11992237.0,324508.0,8.64,1064.13,16120.09,3.0,6.6,5383993.0,48125094.0,13949813.0,11.19
2032,2022,6.0,TX,Final,2381731.5,17653237.0,12025116.0,13.49,1378441.5,14382432.0,1583318.0,9.58,920240.53,12404367.0,324865.0,7.42,1036.91,14969.02,3.0,6.93,4681450.5,44455005.0,13933302.0,10.53
2083,2022,5.0,TX,Final,1792565.7,13439906.0,12030297.0,13.34,1227184.6,13363837.0,1565351.0,9.18,978260.33,12302450.0,318297.0,7.95,977.69,14433.8,3.0,6.77,3998988.3,39120627.0,13913948.0,10.22
2134,2022,4.0,TX,Final,1346425.6,10133091.0,11996708.0,13.29,1002933.6,12070698.0,1571451.0,8.31,796414.96,11805640.0,315068.0,6.75,972.0,14186.96,3.0,6.85,3146746.1,34023616.0,13883230.0,9.25
2185,2022,3.0,TX,Final,1498724.0,11516688.0,12010521.0,13.01,999370.2,12053228.0,1583728.0,8.29,751537.51,11831468.0,311774.0,6.35,908.5,12504.97,3.0,7.27,3250540.2,35413889.0,13906026.0,9.18
2236,2022,2.0,TX,Final,1642557.9,13162486.0,12145008.0,12.48,936893.2,11330766.0,1558106.0,8.27,615897.46,10212603.0,307557.0,6.03,942.57,13674.45,3.0,6.89,3196291.1,34719529.0,14010674.0,9.21
2287,2022,1.0,TX,Final,1647157.3,13227850.0,11924599.0,12.45,936284.96,12057064.0,1575653.0,7.77,648408.03,11432556.0,307746.0,5.67,907.98,13314.01,3.0,6.82,3232758.3,36730783.0,13808001.0,8.8
2338,2021,12.0,TX,Final,1285116.9,10235028.0,11769117.0,12.56,933268.21,11699208.0,1580234.0,7.98,631596.54,11533424.0,302732.0,5.48,992.23,14407.49,3.0,6.89,2850973.9,33482067.0,13652086.0,8.51
2389,2021,11.0,TX,Final,1200563.5,9391569.7,11589461.0,12.78,970208.31,11593623.0,1563815.0,8.37,674646.39,11130239.0,300246.0,6.06,1119.34,16575.0,3.0,6.75,2846537.5,32132007.0,13453525.0,8.86
2440,2021,10.0,TX,Final,1533978.2,12235322.0,11713063.0,12.54,1072148.3,13272873.0,1568843.0,8.08,732181.03,12011862.0,296104.0,6.1,1080.03,16755.26,3.0,6.45,3339387.5,37536813.0,13578013.0,8.9
2491,2021,9.0,TX,Final,2032944.4,16581737.0,12075096.0,12.26,1146540.2,14163871.0,1570083.0,8.09,723382.12,12107851.0,300361.0,5.97,1044.4,16449.75,3.0,6.35,3903911.1,42869909.0,13945543.0,9.11
2542,2021,8.0,TX,Final,2159029.4,18079317.0,12096865.0,11.94,1153550.1,14450626.0,1570589.0,7.98,703946.85,12121418.0,298992.0,5.81,1053.92,16544.98,3.0,6.37,4017580.3,44667906.0,13966449.0,8.99
2593,2021,7.0,TX,Final,2021777.1,17237468.0,12021319.0,11.73,1140956.7,14321931.0,1572864.0,7.97,654420.75,12744768.0,296353.0,5.13,1013.05,15917.56,3.0,6.36,3818167.6,44320085.0,13890539.0,8.62
2644,2021,6.0,TX,Final,1730998.9,14379217.0,11997731.0,12.04,1019732.8,13560302.0,1573767.0,7.52,583430.56,11152344.0,294960.0,5.23,926.1,14217.73,3.0,6.51,3335088.4,39106081.0,13866461.0,8.53
2695,2021,5.0,TX,Final,1267965.5,10486281.0,11857169.0,12.09,1030495.6,12183528.0,1563780.0,8.46,480910.69,10604143.0,288995.0,4.54,922.75,13989.99,3.0,6.6,2780294.6,33287942.0,13709947.0,8.35
2746,2021,4.0,TX,Final,1114713.5,9225574.7,11822660.0,12.08,1239367.1,11912117.0,1551266.0,10.4,661557.27,10662198.0,289624.0,6.2,961.33,13483.68,3.0,7.13,3016599.3,31813373.0,13663553.0,9.48
2797,2021,3.0,TX,Final,1416162.4,12105313.0,11814241.0,11.7,1087160.5,10272997.0,1519788.0,10.58,739329.36,8681343.6,286155.0,8.52,967.4,14441.36,3.0,6.7,3243619.6,31074095.0,13620187.0,10.44
2848,2021,2.0,TX,Final,1488108.8,11722645.0,11336403.0,12.69,1276140.1,9330112.4,1463021.0,13.68,984988.73,8753712.6,279328.0,11.25,838.91,12849.0,3.0,6.53,3750076.6,29819319.0,13078755.0,12.58
